pool_id,chain,symbol,last_join_exit,bpt_price,earned_fees,total_distribtuion,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,1729708295,2620.9900,450.5143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-264.7698,0
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,1729772068,1.0050,356.9697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-209.7931,0
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1729811461,1.0349,269.3928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-158.3237,0
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,1729588478,2577.5405,255.9205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-150.4060,0
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,1729804233,2589.6758,242.3898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-142.4538,0
0x38161e9efb8de52d00a1eb0f773223fd28fdd7c20002000000000000000005a0,arbitrum,ECLP-GHO-USDe-rh,1729809301,1.0003,207.4180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-121.9008,0
0xc757f12694f550d0985ad6e1019c4db4a803f1600002000000000000000004de,arbitrum,50wstETH/50sFRAX,1729680581,56.1720,147.1673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-86.4911,0
0x36c2f879f446c3b6533f9703745c0504f3a84885000200000000000000000591,arbitrum,ECLP-sFRAX-aFRAX,1729723829,0.9997,122.4513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.9653,0
0xdfa752ca3ff49d4b6dbe08e2d5a111f51773d3950000000000000000000004e8,arbitrum,sFRAX/FRAX,1729717885,1.0135,116.0159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-68.1832,0
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,1729787824,1.0103,44.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.9539,0
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,1729774113,1.0079,39.7197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.3435,0
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,1729809925,1.0075,32.0283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.8232,0
0xca8ecd05a289b1fbc2e0eaec07360c4bfec07b6100020000000000000000051d,arbitrum,2CLP-AUSDC-USDC,1729784533,1.0189,6.9434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.0806,0
0x14abd18d1fa335e9f630a658a2799b33208763fa00020000000000000000051f,arbitrum,2CLP-AUSDT-USDT,1729741247,1.0167,5.6004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.2914,0
0xff38cc0ce0de4476c5a3e78675b48420a851035b000200000000000000000593,arbitrum,ECLP-GHO-GYD-rh,1729788107,1.0001,4.2299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.4860,0
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,1729825756,1.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0x9f8ed1acfe0c863381b9081aff2144fc867aa7730002000000000000000004d4,arbitrum,ANKR:ankrETH,1727910783,8.9889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
