,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,81.93,31.9674,17.2132,0,0,0,-49.1806,0,2025-03-27 06:57:43+00:00
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,78.61,30.6720,16.5157,0,0,0,-47.1877,0,2025-03-22 23:36:26+00:00
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,72.37,28.2373,15.2047,0,0,0,-43.4420,0,2025-03-27 08:56:57+00:00
0x65c2d90b33f7bf693a7ef54662435f2cf3251c210000000000000000000005e7,arbitrum,tETH/wstETH,72.09,28.1280,15.1459,0,0,0,-43.2739,0,2025-03-24 23:48:39+00:00
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,52.73,20.5742,11.0784,0,0,0,-31.6525,0,2025-03-27 06:43:35+00:00
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,26.84,10.4724,5.6390,0,0,0,-16.1114,0,2025-03-25 19:07:36+00:00
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,21.56,8.4123,4.5297,0,0,0,-12.9419,0,2025-03-25 14:41:49+00:00
0x6ce1d1e46548ef657f8d7ebddfc4beadb04f72f30002000000000000000005a1,arbitrum,ECLP-wstETH-GYD,19.36,7.5539,4.0675,0,0,0,-11.6213,0,2025-03-27 04:26:30+00:00
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,13.20,5.1504,2.7733,0,0,0,-7.9236,0,2025-03-27 06:57:43+00:00
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,13.13,5.1231,2.7586,0,0,0,-7.8816,0,2025-03-27 06:10:39+00:00
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,11.67,4.5534,2.4518,0,0,0,-7.0052,0,2025-03-27 07:18:20+00:00
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,7.81,3.0473,1.6409,0,0,0,-4.6882,0,2025-03-19 06:08:48+00:00
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1.62,0.6321,0.3404,0,0,0,-0.9724,0,2025-03-25 11:45:56+00:00
0xff38cc0ce0de4476c5a3e78675b48420a851035b000200000000000000000593,arbitrum,ECLP-GHO-GYD-rh,1.22,0.4760,0.2563,0,0,0,-0.7323,0,2025-03-27 04:24:28+00:00
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2025-01-28 21:51:25+00:00
